plotID,treeID,DBH
1,1101,31.6
1,1102,31.1
1,1103,33.2
1,1104,29.8
1,1105,34.7
1,1106,31.8
1,1107,34.1
1,1108,27.4
1,1109,34.9
2,2101,26
2,2102,28.9
2,2103,26.2
2,2104,33.4
2,2105,37.1
2,2106,31.4
2,2107,26.6
2,2108,24.6
2,2109,29.6
2,2110,41.2
2,2111,25.1
2,2112,35.5
2,2113,27
2,2114,35.2
2,2115,24.9
2,2116,30.4
2,2117,33.2
2,2118,23.8
2,2119,38.2
2,2120,29.7
2,2121,27.1
2,2122,26.7
3,3101,29.4
3,3102,24.8
3,3103,29.3
3,3104,29.3
3,3105,26.6
3,3106,26.1
3,3107,25.5
3,3108,29.8
3,3109,22.9
3,3110,24.6
3,3111,29.4
3,3112,29.2
3,3113,37
3,3114,23
3,3115,31.4
3,3116,24.4
3,3117,36
3,3118,34.9
3,3119,31.2
3,3120,27.3
3,3121,22.2
