plotID,treeID,DBH,treeSP
1,1,28.9,1
1,2,23.8,1
1,3,25.7,1
1,4,25.1,1
1,5,42.6,1
1,6,28.8,1
1,7,36,1
1,8,26.2,1
1,9,48.7,1
1,10,44.3,1
10,1,34,2
10,2,32.7,1
10,3,13.2,2
10,4,14.9,2
10,5,31.1,2
10,6,29.6,2
10,7,30.4,2
10,8,22.6,2
10,9,31.8,2
10,10,36.2,2
11,1,42.1,1
11,2,30.4,1
11,3,37.2,1
11,4,27.7,1
11,5,35,1
11,6,41.3,1
11,7,44,1
11,8,37.5,1
11,9,32.7,1
11,10,23.6,1
12,1,25.1,3
12,2,31.4,3
12,3,15.1,1
12,4,35.7,3
12,5,26.1,1
12,6,12.2,1
12,7,31.3,1
12,8,41.7,1
12,9,31.5,1
12,10,31.6,3
13,1,34,1
13,2,36.2,1
13,3,17,1
13,4,16.5,1
13,5,25.2,1
13,6,22.7,1
13,7,27.7,1
13,8,27.5,1
13,9,17.6,1
13,10,34.5,1
16,1,18.5,1
16,2,35.3,1
16,3,19.3,1
16,4,28.7,1
16,5,27.7,1
16,6,21,1
16,7,26.4,1
16,8,13,3
16,9,32.4,1
16,10,35.6,1
17,1,26.6,1
17,2,23.5,1
17,3,35.4,1
17,4,29.7,1
17,5,41.6,1
17,6,35.6,1
17,7,32.4,1
17,8,25.2,1
17,9,24.2,1
17,10,42.4,1
18,1,14.5,1
18,2,9.4,1
18,3,22.7,1
18,4,30.9,1
18,5,37.3,1
18,6,19.1,1
18,7,21.5,1
18,8,22.4,1
18,9,32.9,1
18,10,20.7,3
19,1,35.9,1
19,2,15.9,1
19,3,27.1,1
19,4,20.6,1
19,5,19.4,1
19,6,25.9,1
19,7,25.2,1
19,8,18.6,1
19,9,22.9,1
19,10,26.4,1
2,1,38.7,1
2,2,35.2,1
2,3,19.8,3
2,4,30.8,1
2,5,15,1
2,6,12.2,1
2,7,39.6,1
2,8,40.4,1
2,9,34.4,1
2,10,36.1,2
21,1,42.1,1
21,2,35.2,1
21,3,30.5,1
21,4,31.9,1
21,5,33.4,1
21,6,21,1
21,7,45.9,1
21,8,32.9,1
21,9,29.7,1
21,10,23.5,1
22,1,29.9,1
22,2,19.9,1
22,3,28.4,3
22,4,21,1
22,5,37.3,1
22,6,31.9,1
22,7,39.5,1
22,8,39.7,1
22,9,36.9,1
22,10,35.9,1
23,1,30.7,1
23,2,35.8,1
