plotID,treeID,DBH,treeSP
31,9,60,4
31,8,40.7,4
31,7,43.6,4
31,6,32.3,4
31,4,33.3,4
31,1,36.9,4
31,10,32.6,4
31,11,28.5,4
31,13,29,4
31,12,27.6,4
31,5,19.5,4
31,3,23.1,4
31,2,19.5,4
31,20,54.6,4
31,19,34.8,4
31,18,34.5,4
31,17,38.8,4
31,16,38.6,4
31,15,35.3,4
31,23,34.6,4
31,25,34.4,4
31,24,35.1,4
31,22,32.6,4
31,21,40.3,4
31,14,44.6,4
35,22,16.1,4
35,1,42.3,4
35,2,50,4
35,4,22.6,4
35,5,30.6,4
35,10,39.6,4
35,9,37.9,4
35,8,36.4,4
35,6,45.3,4
35,11,28.8,4
35,23,13,4
35,12,32.9,4
35,3,41,4
35,7,33.6,4
35,13,37.8,4
35,14,42.7,4
35,15,20.2,4
35,16,29.5,4
35,17,32.6,4
35,19,25.2,4
35,18,32.8,4
35,20,37.8,4
35,21,36.5,4
39,27,18,4
39,28,22.7,4
39,29,35.6,4
39,6,7.7,4
39,9,15.3,4
39,8,9.5,4
39,38,5.5,4
39,37,8.2,4
39,39,5,4
39,11,22.7,4
39,40,9.2,4
39,12,12.1,4
39,41,9.9,4
39,10,18.5,4
39,34,38.8,4
39,35,34.6,4
39,42,19.9,4
39,36,34.3,4
39,7,10.5,4
39,43,6.8,4
39,16,14,4
39,17,34,4
39,44,9.3,4
39,33,31.3,4
39,32,30.6,4
39,31,31.4,4
39,23,25.7,4
39,22,38.3,4
39,3,18.6,4
39,4,9,4
39,5,7.8,4
39,2,20.9,4
39,48,8.8,4
39,15,18.1,4
39,14,21,4
39,30,32.5,4
39,21,15.8,4
39,1,8.1,4
39,45,14.4,4
39,26,33.9,4
39,25,40.9,4
39,46,19.8,4
39,24,38.7,4
39,47,18,4
39,18,22.8,4
39,19,12.5,4
39,20,21.3,4
39,13,15.1,4
61,17,8.1,4
61,3,33.8,4
61,2,33.9,4
61,19,15.6,4
61,1,36.1,4
61,18,18.5,4
61,10,32.3,4
61,9,36.6,4
61,7,28.2,4
61,8,32.1,4
61,6,32.6,4
61,4,39.5,4
61,12,25.8,4
61,13,47.8,4
61,14,59.2,4
61,5,25.6,4
61,11,38.7,4
61,15,33.4,4
61,16,35,4
65,18,29.5,4
65,17,32.6,4
65,16,16.9,4
65,15,43.5,4
65,14,45.8,4
65,13,36.5,4
65,12,44.9,4
65,9,31,4
65,10,22.4,4
65,11,24.6,4
65,19,17.5,4
65,8,49,4
65,7,50.4,4
65,5,37.3,4
65,6,38.5,4
65,1,36.6,4
65,3,47,4
65,4,35.7,4
65,2,37.8,4
65,20,15.3,4
87,10,35,4
87,9,38.6,4
87,8,33,4
87,7,18.6,4
87,6,19.2,4
87,1,33.1,4
87,5,36.3,4
87,3,27.1,4
87,4,42.9,4
87,2,36,4
87,21,12.7,4
87,12,30.2,4
87,13,27,4
87,17,31.8,4
87,16,43,4
87,15,36.3,4
87,14,48.7,4
87,18,40.2,4
87,19,25.1,4
87,20,32.3,4
