plotID,treeID,DBH,treeSP
1,130,0.435,6
1,131,0.44,6
1,132,0.255,6
1,133,0.305,6
1,134,0.285,6
1,135,0.2925,6
1,136,0.335,6
1,137,0.375,6
1,138,0.4275,6
1,139,0.37,6
1,140,0.27,6
1,141,0.105,6
1,142,0.12,6
1,143,0.335,6
1,144,0.445,6
1,145,0.26,6
1,146,0.71,6
1,147,0.875,6
1,148,1.31,6
1,149,0.92,6
1,150,0.165,6
1,151,0.175,6
1,152,0.16,6
1,153,0.265,6
1,154,0.23,6
1,155,0.15,6
1,156,0.21,6
1,157,0.175,6
1,158,0.31,6
1,160,0.27,6
1,161,0.27,6
1,162,0.205,6
1,163,0.26,6
1,164,0.34,6
1,165,0.73,6
1,166,0.275,6
1,77,0.48,6
1,78,0.135,6
1,79,0.555,6
1,80,0.12,6
1,81,0.22,6
1,82,0.535,6
1,83,0.665,6
1,84,0.555,6
1,85,0.4975,6
1,86,0.545,6
1,87,0.39,6
1,88,0.32,6
1,89,0.685,6
1,90,0.755,6
1,91,0.525,6
1,92,0.505,6
1,93,0.23,6
1,94,0.125,6
1,95,0.22,6
1,96,0.19,6
1,97,0.165,6
1,98,0.74,6
1,99,0.155,6
1,100,0.77,6
1,101,0.24,6
1,102,0.3,6
1,103,0.155,6
1,104,0.195,6
1,105,0.195,6
1,106,0.825,6
1,107,0.72,6
1,108,0.195,6
1,109,0.275,6
1,110,0.21,6
1,111,0.15,6
1,112,0.275,6
1,113,0.185,6
1,114,0.6,6
1,115,0.44,6
1,116,0.825,6
1,117,0.75,6
1,118,0.585,6
1,120,0.55,6
1,121,0.15,6
1,122,0.185,6
1,123,0.195,6
1,124,0.735,6
1,125,0.18,6
1,126,0.735,6
1,127,0.11,6
1,128,0.15,6
1,129,0.685,6
1,37,0.7175,6
1,38,0.64,6
1,39,0.39,6
1,40,0.11,6
1,41,0.66,6
1,42,0.835,6
1,43,0.845,6
1,44,0.49,6
1,45,0.345,6
1,46,0.3,6
1,47,0.155,6
1,48,0.105,6
1,49,0.755,6
1,50,0.685,6
1,51,0.135,6
1,52,0.395,6
1,53,0.76,6
1,54,0.385,6
1,55,0.26,6
1,56,0.11,6
1,57,0.145,6
1,58,0.195,6
1,59,0.725,6
1,60,0.18,6
1,61,0.75,6
1,62,0.71,6
1,63,0.11,6
1,64,0.84,6
1,65,0.1975,6
1,66,0.47,6
1,67,0.125,6
1,68,0.33,6
1,69,0.38,6
1,70,1,6
1,71,0.11,6
1,72,0.205,6
1,73,0.2,6
1,74,0.2575,6
1,75,0.27,6
1,76,0.13,6
1,0,0.195,6
1,1,0.3925,6
1,2,0.325,6
1,3,0.245,6
1,4,0.35,6
1,5,0.16,6
1,6,0.21,6
1,7,0.82,6
1,8,0.495,6
1,9,0.825,6
1,10,1.245,6
1,11,0.26,6
1,12,0.655,6
1,13,1.1425,6
1,14,0.395,6
1,15,0.134,6
1,16,0.0875,6
1,17,0.4715,6
1,18,0.388,6
1,19,0.12,6
1,20,0.225,6
1,21,0.299,6
1,22,0.465,6
1,23,0.1525,6
1,24,0.115,6
1,25,0.255,6
1,26,0.195,6
1,27,0.245,6
1,28,0.115,6
1,29,0.155,6
1,30,0.305,6
1,31,1.33,6
1,32,0.97,6
1,33,1.06,6
1,34,0.995,6
1,35,1.3,6
1,36,1.275,6
